Program WSFPLOT  7.17  released 1-13-2006 

SF.INI file: D:\PC\DailyReport\python-code\LANL\Examples\Electrostatic\ChargeDensity\SF.INI  1-25-2021   0:46:16
Reading file D:\PC\DAILYREPORT\PYTHON-CODE\LANL\EXAMPLES\ELECTROSTATIC\CHARGEDENSITY\C4QPNT.T35.
 
 Problem description:
 Electrostatic problem with charge on a point-region - 4 quadrants
 Line charge has equivalent charge/cm as files C4q.am and C1q.am
 Problem file: E:\nakai\Daily\python-code\LANL\Examples\Electrostatic\ChargeDensity\C4QPNT.AM  1-07-2021   8:51:14
 Problem file length:         887 bytes
    1.75185      -2.73924    
    1.76244      -2.73236    
    1.78234      -2.71953    
    1.80503      -2.70441    
    1.81255      -2.69945    
    1.81879      -2.69519    
    1.84255      -2.67910    
    1.87183      -2.65865    
    1.87224      -2.65837    
    1.87255      -2.65814    
    1.90175      -2.63741    
    1.92387      -2.62122    
    1.93094      -2.61607    
    1.94078      -2.60870    
    1.95992      -2.59446    
    1.97302      -2.58442    
    1.98862      -2.57253    
    2.01212      -2.55409    
    2.01704      -2.55026    
    2.02016      -2.54776    
    2.04525      -2.52775    
    2.06538      -2.51123    
    2.07315      -2.50488    
    2.08642      -2.49374    
    2.10081      -2.48174    
    2.10886      -2.47483    
    2.12821      -2.45831    
    2.15069      -2.43858    
    2.15531      -2.43454    
    2.16431      -2.42645    
    2.18217      -2.41051    
    2.19096      -2.40246    
    2.20877      -2.38618    
    2.22977      -2.36648    
    2.23506      -2.36153    
    2.24690      -2.35017    
    2.26111      -2.33661    
    2.26721      -2.33064    
    2.28690      -2.31141    
    2.30334      -2.29494    
    2.31239      -2.28589    
    2.33585      -2.26183    
    2.33758      -2.26006    
    2.33823      -2.25939    
    2.36256      -2.23400    
    2.37194      -2.22397    
    2.38723      -2.20763    
    2.40453      -2.18870    
    2.41162      -2.18094    
    2.43458      -2.15520    
    2.43571      -2.15395    
    2.43604      -2.15357    
    2.45957      -2.12671    
    2.46655      -2.11856    
    2.48314      -2.09917    
    2.49608      -2.08370    
    2.50641      -2.07132    
    2.52466      -2.04896    
    2.52940      -2.04316    
    2.55088      -2.01621    
    2.55209      -2.01469    
    2.55235      -2.01436    
    2.57455      -1.98596    
    2.57920      -1.97988    
    2.59671      -1.95691    
    2.60522      -1.94552    
    2.61858      -1.92755    
    2.63045      -1.91127    
    2.64017      -1.89788    
    2.65492      -1.87714    
    2.66147      -1.86788    
    2.67865      -1.84311    
    2.68248      -1.83755    
    2.70167      -1.80919    
    2.70321      -1.80690    
    2.71967      -1.78194    
    2.72365      -1.77591    
    2.72402      -1.77535    
    2.74383      -1.74459    
    2.74572      -1.74161    
    2.76372      -1.71292    
    2.76679      -1.70795    
    2.78333      -1.68088    
    2.78725      -1.67436    
    2.80265      -1.64847    
    2.80712      -1.64084    
    2.82168      -1.61568    
    2.82641      -1.60738    
    2.84043      -1.58249    
    2.84515      -1.57398    
    2.85889      -1.54889    
    2.86335      -1.54062    
    2.87706      -1.51486    
    2.88103      -1.50730    
    2.89494      -1.48040    
    2.89819      -1.47402    
    2.91253      -1.44548    
    2.91486      -1.44077    
    2.92982      -1.41008    
    2.93105      -1.40753    
    2.94602      -1.37586    
    2.94676      -1.37432    
    2.94682      -1.37419    
    2.96203      -1.34112    
    2.96352      -1.33780    
    2.97685      -1.30793    
    2.97992      -1.30088    
    2.99122      -1.27474    
    2.99600      -1.26341    
    3.00515      -1.24155    
    3.01177      -1.22536    
    3.01865      -1.20836    
    3.02720      -1.18671    
    3.03172      -1.17516    
    3.04230      -1.14744    
    3.04437      -1.14195    
    3.05440      -1.11471    
    3.05661      -1.10874    
    3.05704      -1.10752    
    3.06848      -1.07551    
    3.07145      -1.06695    
    3.07995      -1.04227    
    3.08548      -1.02568    
    3.09100      -1.00902    
    3.09912     -0.983686    
    3.10165     -0.975747    
    3.11026     -0.947752    
    3.11190     -0.942459    
    3.11236     -0.940937    
    3.12183     -0.909157    
    3.12519     -0.897410    
    3.13135     -0.875837    
    3.13758     -0.853062    
    3.14047     -0.842497    
    3.14826     -0.812692    
    3.14920     -0.809139    
    3.14952     -0.807859    
    3.15762     -0.775768    
    3.16099     -0.761760    
    3.16565     -0.742377    
    3.17195     -0.714726    
    3.17327     -0.708967    
    3.17615     -0.695629    
    3.18056     -0.675543    
    3.18239     -0.666705    
    3.18750     -0.642104    
    3.19227     -0.617649    
    3.19404     -0.608648    
    3.19738     -0.590410    
    3.20023     -0.575179    
    3.20156     -0.567502    
    3.20609     -0.541697    
    3.21023     -0.516200    
    3.21155     -0.508201    
    3.21370     -0.493918    
    3.21668     -0.474694    
    3.21824     -0.463672    
    3.22146     -0.441176    
    3.22554     -0.409861    
    3.22583     -0.407648    
    3.22625     -0.404145    
    3.22994     -0.374112    
    3.23206     -0.354639    
    3.23364     -0.340569    
    3.23566     -0.319946    
    3.23698     -0.307020    
    3.23778     -0.297959    
    3.24001     -0.273466    
    3.24259     -0.240163    
    3.24262     -0.239908    
    3.24263     -0.239715    
    3.24498     -0.206348    
    3.24649     -0.179725    
    3.24691     -0.172787    
    3.24730     -0.164352    
    3.24855     -0.139226    
    3.24932     -0.117903    
    3.24980     -0.105667    
    3.25015     -9.183005E-02
    3.25073     -7.210942E-02
    3.25100     -5.408398E-02
    3.25129     -3.855626E-02
    3.25137     -2.221593E-02
    3.25152     -5.007901E-03
    3.25143      1.192696E-02
    3.25140      2.853451E-02
    3.25114      4.480260E-02
    3.25093      6.206986E-02
    3.25045      8.036436E-02
    3.25011      9.559703E-02
    3.24961      0.109486    
    3.24896      0.129115    
    3.24792      0.151511    
    3.24744      0.162623    
    3.24690      0.172051    
    3.24561      0.196121    
    3.24362      0.225707    
    3.24337      0.229605    
    3.24313      0.232681    
    3.24088      0.263080    
    3.23837      0.291497    
    3.23794      0.296538    
    3.23726      0.303494    
    3.23474      0.329986    
    3.23271      0.348650    
    3.23115      0.363416    
    3.22852      0.385429    
    3.22720      0.396832    
    3.22624      0.404279    
    3.22295      0.430233    
    3.21899      0.458464    
    3.21827      0.463615    
    3.21696      0.472291    
    3.21332      0.496984    
    3.21101      0.511291    
    3.20799      0.530334    
    3.20239      0.562871    
    3.20225      0.563663    
    3.20197      0.565179    
    3.19625      0.596980    
    3.19312      0.613235    
    3.18986      0.630276    
    3.18327      0.662495    
    3.18305      0.663550    
    3.18256      0.665858    
    3.17598      0.696811    
    3.17286      0.710677    
    3.16851      0.730051    
    3.16192      0.757860    
    3.16064      0.763270    
    3.15724      0.776922    
    3.15245      0.796473    
    3.15048      0.804086    
    3.14390      0.829659    
    3.13857      0.849403    
    3.13495      0.862825    
    3.12620      0.893855    
    3.12560      0.895972    
    3.12366      0.902576    
    3.11594      0.929106    
    3.11340      0.937483    
    3.10589      0.962224    
    3.10018      0.980323    
    3.09543      0.995326    
    3.08656       1.02241    
    3.08458       1.02841    
    3.07644       1.05231    
    3.07334       1.06149    
    3.07254       1.06377    
    3.06174       1.09456    
    3.05817       1.10444    
    3.04973       1.12761    
    3.04342       1.14445    
    3.03731       1.16067    
    3.02833       1.18381    
    3.02446       1.19371    
    3.01289       1.22256    
    3.01119       1.22676    
    2.99994       1.25389    
    2.99750       1.25981    
    2.99712       1.26071    
    2.98341       1.29286    
    2.98104       1.29831    
    2.96887       1.32593    
    2.96464       1.33535    
    2.95389       1.35900    
    2.94793       1.37185    
    2.93844       1.39210    
    2.93091       1.40784    
    2.92252       1.42521    
    2.91360       1.44333    
    2.90612       1.45836    
    2.89600       1.47834    
    2.88923       1.49153    
    2.87810       1.51288    
    2.87184       1.52474    
    2.85993       1.54696    
    2.85394       1.55799    
    2.84147       1.58062    
    2.83550       1.59128    
    2.82273       1.61384    
    2.81653       1.62463    
    2.80371       1.64666    
    2.79700       1.65803    
    2.78442       1.67908    
    2.77689       1.69149    
    2.76486       1.71111    
    2.75619       1.72502    
    2.74502       1.74277    
    2.73487       1.75861    
    2.72490       1.77405    
    2.71292       1.79228    
    2.70451       1.80498    
    2.69032       1.82603    
    2.68385       1.83556    
    2.66704       1.85986    
    2.66291       1.86579    
    2.64306       1.89377    
    2.64169       1.89569    
    2.63245       1.90838    
    2.62022       1.92527    
    2.61836       1.92778    
    2.59848       1.95454    
    2.59291       1.96188    
    2.57647       1.98348    
    2.56667       1.99609    
    2.55417       2.01211    
    2.53961       2.03040    
    2.53160       2.04043    
    2.51170       2.06482    
    2.50875       2.06843    
    2.49657       2.08300    
    2.48564       2.09614    
    2.48291       2.09935    
    2.46228       2.12357    
    2.45320       2.13400    
    2.43864       2.15069    
    2.42251       2.16877    
    2.41471       2.17750    
    2.39081       2.20366    
    2.39050       2.20400    
    2.38954       2.20502    
    2.36607       2.23027    
    2.35806       2.23867    
    2.34135       2.25622    
    2.32419       2.27381    
    2.31635       2.28186    
    2.29588       2.30235    
    2.29107       2.30720    
    2.28916       2.30908    
    2.26558       2.33229    
    2.25289       2.34447    
    2.23979       2.35707    
    2.21534       2.37999    
    2.21371       2.38153    
    2.21019       2.38475    
    2.18741       2.40575    
    2.17640       2.41564    
    2.16084       2.42966    
    2.13603       2.45142    
    2.13397       2.45323    
    2.13009       2.45656    
    2.10690       2.47657    
    2.09409       2.48732    
    2.07954       2.49959    
    2.05415       2.52041    
    2.05190       2.52227    
    2.05054       2.52336    
    2.02406       2.54474    
    2.00521       2.55952    
    1.99592       2.56684    
    1.98156       2.57784    
    1.96753       2.58866    
    1.95801       2.59580    
    1.93891       2.61019    
    1.91160       2.63018    
    1.90999       2.63136    
    1.90881       2.63220    
    1.88089       2.65231    
    1.85739       2.66872    
    1.85149       2.67287    
    1.84397       2.67800    
    1.82188       2.69318    
    1.80360       2.70535    
    1.79199       2.71314    
    1.77828       2.72205    
    1.76188       2.73280    
    1.74723       2.74210    
    1.73152       2.75214    
    1.71429       2.76280    
    1.70091       2.77115    
    1.68801       2.77894    
    1.67008       2.78985    
    1.65181       2.80061    
    1.63899       2.80822    
    1.62565       2.81587    
    1.60768       2.82627    
    1.59070       2.83577    
    1.57613       2.84398    
    1.55977       2.85288    
    1.54435       2.86136    
    1.53082       2.86854    
    1.51234       2.87841    
    1.48993       2.88998    
    1.48009       2.89511    
    1.47208       2.89913    
    1.44764       2.91150    
    1.41561       2.92713    
    1.41491       2.92748    
    1.41438       2.92773    
    1.38202       2.94321    
    1.35768       2.95444    
    1.34887       2.95852    
    1.33584       2.96434    
    1.31551       2.97352    
    1.30189       2.97944    
    1.28194       2.98816    
    1.24997       3.00160    
    1.24811       3.00239    
    1.24696       3.00286    
    1.21413       3.01635    
    1.19286       3.02474    
    1.17989       3.02989    
    1.15629       3.03888    
    1.14544       3.04306    
    1.13953       3.04524    
    1.11081       3.05591    
    1.08694       3.06441    
    1.07594       3.06834    
    1.05303       3.07618    
    1.04086       3.08040    
    1.03505       3.08232    
    1.00560       3.09212    
   0.983841       3.09905    
   0.970117       3.10343    
   0.937156       3.11347    
   0.934409       3.11432    
   0.933271       3.11466    
   0.898540       3.12490    
   0.883317       3.12919    
   0.862449       3.13506    
   0.833955       3.14271    
   0.826140       3.14480    
   0.802942       3.15072    
   0.789635       3.15415    
   0.785163       3.15525    
   0.752948       3.16314    
   0.736914       3.16687    
   0.716047       3.17170    
   0.689195       3.17760    
   0.678933       3.17984    
   0.641988       3.18747    
   0.641608       3.18754    
   0.640067       3.18784    
   0.604109       3.19489    
   0.595261       3.19653    
   0.566398       3.20181    
   0.549011       3.20480    
   0.528474       3.20829    
   0.503222       3.21231    
   0.490336       3.21433    
   0.457880       3.21908    
   0.451982       3.21993    
   0.416102       3.22472    
   0.413412       3.22509    
   0.412969       3.22514    
   0.374641       3.22984    
   0.368464       3.23054    
   0.335644       3.23414    
   0.324364       3.23527    
   0.296416       3.23797    
   0.280656       3.23936    
   0.256953       3.24135    
   0.237328       3.24282    
   0.217248       3.24425    
   0.194366       3.24568    
   0.177295       3.24667    
   0.151757       3.24796    
   0.137087       3.24862    
   0.109490       3.24965    
   9.661435E-02   3.25007    
   6.755122E-02   3.25080    
   5.586890E-02   3.25102    
   2.592913E-02   3.25140    
   1.484040E-02   3.25147    
  -1.538802E-02   3.25146    
  -2.648197E-02   3.25139    
  -5.641158E-02   3.25101    
  -6.810938E-02   3.25079    
  -9.715217E-02   3.25005    
  -0.110054       3.24964    
  -0.137620       3.24859    
  -0.152327       3.24793    
  -0.177824       3.24664    
  -0.194941       3.24565    
  -0.217772       3.24421    
  -0.237910       3.24278    
  -0.257472       3.24130    
  -0.281245       3.23931    
  -0.296932       3.23793    
  -0.324960       3.23521    
  -0.336156       3.23408    
  -0.369067       3.23047    
  -0.375149       3.22978    
  -0.413579       3.22507    
  -0.413916       3.22502    
  -0.415957       3.22475    
  -0.452482       3.21986    
  -0.458497       3.21899    
  -0.490832       3.21425    
  -0.503848       3.21221    
  -0.528967       3.20821    
  -0.549645       3.20469    
  -0.566888       3.20172    
  -0.595904       3.19641    
  -0.604595       3.19480    
  -0.639866       3.18788    
  -0.642091       3.18745    
  -0.642640       3.18734    
  -0.679412       3.17974    
  -0.689856       3.17745    
  -0.716522       3.17160    
  -0.737585       3.16671    
  -0.753420       3.16303    
  -0.785845       3.15508    
  -0.790104       3.15404    
  -0.802762       3.15076    
  -0.826606       3.14468    
  -0.834648       3.14252    
  -0.862912       3.13494    
  -0.884021       3.12899    
  -0.898999       3.12477    
  -0.933988       3.11444    
  -0.934865       3.11419    
  -0.936981       3.11353    
  -0.970571       3.10329    
  -0.984571       3.09882    
   -1.00606       3.09198    
   -1.03580       3.08208    
   -1.04131       3.08025    
   -1.05285       3.07625    
   -1.07639       3.06818    
   -1.08770       3.06414    
   -1.11125       3.05575    
   -1.14030       3.04496    
   -1.14588       3.04289    
   -1.15610       3.03895    
   -1.18033       3.02972    
   -1.19365       3.02443    
   -1.21456       3.01617    
   -1.24777       3.00253    
   -1.24854       3.00221    
   -1.24980       3.00168    
   -1.28237       2.98798    
   -1.30272       2.97908    
   -1.31594       2.97333    
   -1.33565       2.96443    
   -1.34929       2.95833    
   -1.35853       2.95405    
   -1.38244       2.94302    
   -1.41525       2.92732    
   -1.41533       2.92728    
   -1.41543       2.92723    
   -1.44805       2.91130    
   -1.47297       2.89868    
   -1.48050       2.89489    
   -1.48975       2.89007    
   -1.51275       2.87820    
   -1.53174       2.86805    
   -1.54476       2.86114    
   -1.55958       2.85299    
   -1.57654       2.84375    
   -1.59165       2.83524    
   -1.60809       2.82604    
   -1.62546       2.81598    
   -1.63939       2.80798    
   -1.65280       2.80003    
   -1.67047       2.78962    
   -1.68783       2.77905    
   -1.70131       2.77091    
   -1.71531       2.76217    
   -1.73191       2.75189    
   -1.74704       2.74222    
   -1.76227       2.73255    
   -1.77934       2.72136    
   -1.79238       2.71288    
   -1.80341       2.70548    
   -1.82227       2.69292    
   -1.84508       2.67724    
   -1.85187       2.67261    
   -1.85721       2.66886    
   -1.88128       2.65204    
   -1.90863       2.63234    
   -1.91038       2.63109    
   -1.91277       2.62933    
   -1.93929       2.60991    
   -1.95782       2.59594    
   -1.96791       2.58838    
   -1.98279       2.57690    
   -1.99629       2.56655    
   -2.00502       2.55966    
   -2.02443       2.54444    
   -2.05036       2.52351    
   -2.05227       2.52198    
   -2.05546       2.51934    
   -2.07991       2.49929    
   -2.09391       2.48748    
   -2.10727       2.47626    
   -2.13148       2.45536    
   -2.13434       2.45291    
   -2.13584       2.45158    
   -2.16120       2.42934    
   -2.17622       2.41581    
   -2.18778       2.40542    
   -2.21170       2.38336    
   -2.21406       2.38119    
   -2.21516       2.38017    
   -2.24014       2.35674    
   -2.25271       2.34464    
   -2.26593       2.33195    
   -2.28898       2.30926    
   -2.29143       2.30685    
   -2.29759       2.30065    
   -2.31670       2.28150    
   -2.32401       2.27399    
   -2.34170       2.25586    
   -2.35788       2.23886    
   -2.36642       2.22990    
   -2.39064       2.20385    
   -2.39084       2.20363    
   -2.39149       2.20292    
   -2.41506       2.17712    
   -2.42234       2.16897    
   -2.43898       2.15031    
   -2.45302       2.13420    
   -2.46262       2.12318    
   -2.48274       2.09956    
   -2.48598       2.09574    
   -2.49898       2.08011    
   -2.50909       2.06802    
   -2.51153       2.06503    
   -2.53194       2.04001    
   -2.53945       2.03061    
   -2.55451       2.01169    
   -2.56650       1.99631    
   -2.57680       1.98306    
   -2.59274       1.96211    
   -2.59881       1.95410    
   -2.61819       1.92801    
   -2.62055       1.92482    
   -2.63609       1.90338    
   -2.64202       1.89523    
   -2.64289       1.89401    
   -2.66324       1.86533    
   -2.66688       1.86009    
   -2.68417       1.83509    
   -2.69016       1.82627    
   -2.70484       1.80450    
   -2.71277       1.79253    
   -2.72523       1.77356    
   -2.73471       1.75887    
   -2.74534       1.74227    
   -2.75603       1.72528    
   -2.76518       1.71060    
   -2.77673       1.69176    
   -2.78474       1.67856    
   -2.79684       1.65830    
   -2.80403       1.64613    
   -2.81638       1.62490    
   -2.82305       1.61330    
   -2.83535       1.59156    
   -2.84178       1.58006    
   -2.85379       1.55827    
   -2.86024       1.54640    
   -2.87169       1.52503    
   -2.87842       1.51229    
   -2.88908       1.49183    
   -2.89631       1.47774    
   -2.90597       1.45866    
   -2.91391       1.44272    
   -2.92237       1.42553    
   -2.93122       1.40721    
   -2.93829       1.39242    
   -2.94823       1.37121    
   -2.95374       1.35933    
   -2.96494       1.33469    
   -2.96873       1.32626    
   -2.98133       1.29763    
   -2.98326       1.29321    
   -2.99693       1.26115    
   -2.99736       1.26016    
   -2.99741       1.26002    
   -3.01105       1.22712    
   -3.01318       1.22185    
   -3.02432       1.19408    
   -3.02862       1.18308    
   -3.03717       1.16105    
   -3.04371       1.14370    
   -3.04959       1.12801    
   -3.05845       1.10367    
   -3.06160       1.09496    
   -3.07282       1.06297    
   -3.07320       1.06190    
   -3.07464       1.05762    
   -3.08445       1.02884    
   -3.08683       1.02159    
   -3.09530      0.995769    
   -3.10045      0.979479    
   -3.10575      0.962682    
   -3.11367      0.936612    
   -3.11580      0.929579    
   -3.12226      0.907370    
   -3.12548      0.896462    
   -3.12647      0.892956    
   -3.13482      0.863333    
   -3.13883      0.848475    
   -3.14377      0.830185    
   -3.15074      0.803127    
   -3.15231      0.797018    
   -3.15615      0.781371    
   -3.16052      0.763836    
   -3.16217      0.756868    
   -3.16838      0.730639    
   -3.17309      0.709651    
   -3.17585      0.697421    
   -3.18164      0.670197    
   -3.18294      0.664186    
   -3.18350      0.661431    
   -3.18974      0.630937    
   -3.19334      0.612135    
   -3.19613      0.597668    
   -3.20121      0.569447    
   -3.20214      0.564382    
   -3.20259      0.561727    
   -3.20787      0.531083    
   -3.21121      0.510107    
   -3.21320      0.497766    
   -3.21634      0.476526    
   -3.21817      0.464433    
   -3.21917      0.457232    
   -3.22284      0.431088    
   -3.22641      0.403007    
   -3.22709      0.397726    
   -3.22802      0.389664    
   -3.23106      0.364353    
   -3.23287      0.347323    
   -3.23465      0.330966    
   -3.23685      0.307820    
   -3.23787      0.297567    
   -3.23851      0.290113    
   -3.24080      0.264158    
   -3.24325      0.231255    
   -3.24329      0.230737    
   -3.24333      0.230082    
   -3.24555      0.197309    
   -3.24700      0.170563    
   -3.24738      0.163870    
   -3.24772      0.156006    
   -3.24893      0.130425    
   -3.24967      0.107933    
   -3.25008      9.697265E-02
   -3.25035      8.499029E-02
   -3.25092      6.351507E-02
   -3.25118      4.318134E-02
   -3.25139      3.005238E-02
   -3.25142      1.669357E-02
   -3.25154     -3.413666E-03
   -3.25137     -2.391085E-02
   -3.25132     -3.688257E-02
   -3.25109     -4.916833E-02
   -3.25078     -7.035281E-02
   -3.25012     -9.360432E-02
   -3.24986     -0.103824    
   -3.24951     -0.112831    
   -3.24865     -0.137294    
   -3.24722     -0.166213    
   -3.24702     -0.170762    
   -3.24680     -0.174492    
   -3.24513     -0.204228    
   -3.24303     -0.234291    
   -3.24280     -0.237689    
   -3.24244     -0.242192    
   -3.24022     -0.271145    
   -3.23830     -0.292368    
   -3.23723     -0.304595    
   -3.23546     -0.322094    
   -3.23391     -0.338038    
   -3.23271     -0.348879    
   -3.23026     -0.371472    
   -3.22630     -0.403924    
   -3.22619     -0.404896    
   -3.22598     -0.406464    
   -3.22187     -0.438311    
   -3.21913     -0.457554    
   -3.21714     -0.471714    
   -3.21333     -0.496492    
   -3.21204     -0.505103    
   -3.21126     -0.509911    
   -3.20665     -0.538482    
   -3.20272     -0.561032    
   -3.20085     -0.571844    
   -3.19685     -0.593364    
   -3.19470     -0.605192    
   -3.19356     -0.611010    
   -3.18824     -0.638526    
   -3.18382     -0.659891    
   -3.18137     -0.671842    
   -3.17542     -0.699087    
   -3.17412     -0.705140    
   -3.17353     -0.707746    
   -3.16659     -0.738425    
   -3.16272     -0.754611    
   -3.15864     -0.771690    
   -3.15140     -0.800545    
   -3.15030     -0.804936    
   -3.14709     -0.817162    
   -3.14164     -0.838166    
   -3.13962     -0.845587    
   -3.13261     -0.871379    
   -3.12739     -0.889777    
   -3.12318     -0.904573    
   -3.11472     -0.933151    
   -3.11336     -0.937747    
   -3.10841     -0.953788    
   -3.10318     -0.970907    
   -3.10164     -0.975746    
   -3.09263      -1.00405    
   -3.08817      -1.01760    
   -3.08169      -1.03718    
   -3.07432      -1.05872    
   -3.07033      -1.07029    
   -3.06009      -1.09915    
   -3.05857      -1.10339    
   -3.05088      -1.12431    
   -3.04643      -1.13648    
   -3.04551      -1.13892    
   -3.03390      -1.16957    
   -3.03059      -1.17806    
   -3.02095      -1.20264    
   -3.01534      -1.21658    
   -3.00758      -1.23571    
   -2.99976      -1.25451    
   -2.99378      -1.26877    
   -2.98387      -1.29186    
   -2.97954      -1.30184    
   -2.96766      -1.32866    
   -2.96486      -1.33492    
   -2.95114      -1.36494    
   -2.94973      -1.36800    
   -2.93433      -1.40070    
   -2.93414      -1.40109    
   -2.93127      -1.40702    
   -2.91811      -1.43421    
   -2.91723      -1.43599    
   -2.90159      -1.46735    
   -2.89984      -1.47080    
   -2.88458      -1.50052    
   -2.88216      -1.50516    
   -2.86707      -1.53372    
   -2.86419      -1.53908    
   -2.84903      -1.56697    
   -2.84594      -1.57258    
   -2.83046      -1.60026    
   -2.82740      -1.60568    
   -2.81135      -1.63361    
   -2.80858      -1.63838    
   -2.79166      -1.66703    
   -2.78947      -1.67070    
   -2.77138      -1.70051    
   -2.77008      -1.70265    
   -2.75050      -1.73407    
   -2.75040      -1.73423    
   -2.74907      -1.73631    
   -2.73046      -1.76548    
   -2.72901      -1.76772    
   -2.71024      -1.79639    
   -2.70686      -1.80145    
   -2.68973      -1.82697    
   -2.68405      -1.83528    
   -2.66894      -1.85722    
   -2.66053      -1.86922    
   -2.64787      -1.88715    
   -2.63628      -1.90326    
   -2.62652      -1.91676    
   -2.61128      -1.93741    
   -2.60488      -1.94605    
   -2.58549      -1.97169    
   -2.58295      -1.97504    
   -2.56997      -1.99178    
   -2.56075      -2.00373    
   -2.55889      -2.00609    
   -2.53829      -2.03214    
   -2.53144      -2.04062    
   -2.51555      -2.06025    
   -2.50311      -2.07527    
   -2.49252      -2.08805    
   -2.47384      -2.11007    
   -2.46919      -2.11555    
   -2.45247      -2.13480    
   -2.44560      -2.14276    
   -2.44361      -2.14500    
   -2.42175      -2.16972    
   -2.41238      -2.18008    
   -2.39762      -2.19637    
   -2.38007      -2.21529    
   -2.37320      -2.22271    
   -2.35353      -2.24343    
   -2.34849      -2.24877    
   -2.34666      -2.25066    
   -2.32355      -2.27458    
   -2.31208      -2.28617    
   -2.29832      -2.30008    
   -2.27627      -2.32183    
   -2.27279      -2.32526    
   -2.26468      -2.33307    
   -2.24703      -2.35019    
   -2.23916      -2.35763    
   -2.22100      -2.37484    
   -2.20068      -2.39358    
   -2.19466      -2.39916    
   -2.18239      -2.41022    
   -2.16808      -2.42321    
   -2.16075      -2.42968    
   -2.14125      -2.44698    
